MYC2,ANAC072,ZFHD1,HOS1,SIZ1,WRKY18,WRKY40,AREB1,AREB2 ,ABF1,ABF3,DRIP1,MAP3K15,MKK4,MPK6,WRKY59,RD20,ICE1,MYB15,DREB1A,DREB1B,DREB1C,WRKY60,MYB2,ANAC019,ANAC055,RD22,ATAF1,DREB1D,ERD1,DREB2A,RD29A
AT1G32640,AT4G27410,AT1G69600,AT2G39810,AT3G25910,AT4G31800,AT1G80840,AT1G45249,AT3G19290,AT1G49720,AT4G34000,AT1G06770,AT5G55090,AT1G51660,AT2G43790,AT2G21900,AT2G33380,AT3G26744,AT3G23250,AT4G25480,AT4G25490,AT4G25470,AT2G25000,AT2G47190,AT1G52890,AT3G15500,AT5G25610,AT1G01720,AT5G51990,AT5G51070,AT5G05410,AT5G52310
9.390933,9.023112,7.371216,7.223214,8.289746,8.534979,8.490112,7.232666,8.058984,7.912109,7.995378,7.027734,6.810303,7.580754,7.884233,6.769206,7.494838,7.179579,7.091271,7.726074,8.570898,7.504883,6.845812,7.082031,8.608276,7.209595,9.891076,8.738851,7.456543,8.008859,8.359592,9.496438
8.398232,7.507292,7.846313,7.37929,7.541797,7.671165,8.216431,7.464355,7.427734,7.320871,7.536328,7.131738,6.959717,7.195838,7.570934,6.755859,7.28976,7.116536,7.219802,7.36792,8.19082,7.316732,7.060113,7.272827,7.068848,6.756714,8.510592,7.383219,7.083252,7.987898,7.804253,7.735352
9.297235,7.933464,8.0177,7.397391,7.699316,8.437678,9.10791,7.833984,7.567122,7.223842,7.845313,7.143115,7.248372,7.535532,7.406339,6.580729,7.746652,6.859375,7.224159,7.017334,8.313477,7.492025,7.176107,7.129028,7.939209,6.853882,10.24339,7.875244,7.35083,7.895717,8.399089,8.537914
8.551449,7.667904,8.0625,7.371233,7.445508,7.745561,7.589111,7.270915,7.232161,7.283133,7.491081,7.078711,7.200846,7.313702,7.338335,6.555339,7.694754,6.835069,7.174805,7.216553,7.916016,6.908529,7.273438,7.319946,7.301147,7.044067,8.339919,7.273112,7.58667,7.775879,7.213976,8.300609
8.873509,7.723438,8.125732,7.442976,7.180566,8.391868,8.808838,7.651611,7.395378,7.16476,7.61276,7.045215,6.998128,7.347882,7.299805,6.509115,7.601702,7.237956,7.349008,7.604248,8.033203,7.184245,7.288628,6.963867,7.400757,6.708618,9.869066,7.404215,7.533691,7.655308,7.986871,7.871209
8.191406,7.204167,7.807861,7.505057,7.216992,7.384233,8.108643,7.249023,7.280729,7.117676,7.283073,7.123096,7.092122,7.551382,7.329457,7.049805,7.099051,7.0727,7.170523,7.325439,8.091406,7.407552,7.092773,7.114746,7.380127,6.99939,8.464393,6.975505,7.22168,7.705845,7.501736,8.634306
8.991982,7.87168,7.870117,7.253139,7.526855,8.472212,9.126465,7.585042,7.504557,7.34368,7.423763,7.214111,7.344238,7.622371,7.321555,6.746745,7.756138,7.055773,7.513522,7.066406,7.870313,7.326172,7.331597,7.590576,7.236816,6.812012,9.751277,7.734212,7.644775,7.776995,8.563043,9.03958
8.794665,7.250326,7.29187,7.454555,7.346973,8.313033,8.59668,7.238851,7.408724,7.660924,7.466992,7.140283,7.180908,7.189603,7.855114,6.872396,7.773717,7.045573,7.280198,6.96875,8.608594,7.644694,7.197483,7.283813,7.217529,6.950562,8.835487,7.500651,7.097168,8.059291,7.705946,8.169577
9.491417,7.712305,7.180176,7.329973,7.413965,8.749645,9.149536,7.54126,7.784831,7.700335,7.689909,7.102197,6.93278,7.668419,8.000533,6.824544,8.410993,7.268663,7.708083,7.04248,7.69043,7.146647,7.03635,7.108643,7.689453,7.171875,10.05108,7.838786,7.002686,8.409389,8.636285,8.729148
8.75036,7.212565,7.839478,7.32244,7.655273,7.492276,8.288818,7.736572,7.501497,7.322614,8.063672,7.120996,6.920654,7.608023,7.889293,6.595378,7.843471,6.977322,7.243014,7.129883,7.812305,7.587728,6.980686,6.955566,7.267334,6.890137,8.688176,7.347493,6.966064,8.56686,7.368707,8.165384
8.46325,7.741862,7.72168,7.250349,7.496289,8.004616,7.962646,7.833577,7.352669,7.641323,7.827214,7.029639,6.968994,7.405424,7.718572,6.992513,7.451172,7.254991,7.274639,7.186035,7.538281,7.019531,7.564453,7.302734,7.417358,6.94458,9.692458,7.777262,7.165283,7.842181,7.544162,8.510972
8.315892,7.431445,7.595947,7.291818,7.489746,7.262518,7.985718,7.369059,7.182357,7.479353,7.864128,6.992773,6.943197,7.315655,7.602006,6.70638,7.525112,7.128906,6.969576,7.702881,8.419141,7.657552,7.009983,6.850708,7.311157,6.910156,9.3279,7.47168,7.328125,8.306606,7.515516,9.775793
9.670384,8.645247,7.843994,7.31829,7.658594,8.045721,9.184326,7.878499,7.761523,7.099051,7.90638,7.19502,7.310221,7.218525,7.310103,6.65918,7.357143,7.023546,7.19689,7.657715,8.244531,7.498861,7.137153,7.132202,8.317383,7.072021,10.09976,8.341146,7.308594,8.509242,8.100803,9.040671
9.371813,7.932617,7.412354,7.097377,7.621094,9.714311,10.11768,7.249268,7.388867,7.501116,8.111914,6.956104,7.005697,7.538762,7.849698,6.87207,8.551479,7.108181,7.908203,7.65625,8.258398,7.915202,7.012912,7.151978,8.371582,7.167847,9.795448,8.36849,7.366455,8.738002,8.648546,10.0463
9.383224,7.291341,7.268433,7.412354,7.617285,9.692116,10.20825,7.403727,7.792839,7.766392,7.88776,6.81001,7.02832,7.532151,7.458452,6.629883,7.194336,6.990017,7.50646,7.314697,8.646094,7.516113,6.883247,7.008667,7.883057,7.079956,10.36779,8.131917,7.091553,8.289063,8.679688,8.909812
9.415759,8.227083,7.822632,7.355015,7.670117,7.81108,8.567749,7.387777,7.422786,7.617188,8.154753,6.968896,6.99113,7.234075,7.639293,6.690104,8.605329,6.890951,7.179237,7.487549,9.028906,7.510417,7.185113,7.494629,7.395874,6.846191,10.02734,7.558105,7.070801,8.404715,7.913628,9.260685
9.183748,7.563477,7.706665,7.351039,7.286035,8.686168,9.366699,7.712809,7.800846,7.532157,7.612565,6.982324,7.210042,7.715445,7.139737,6.482422,7.37486,7.06543,7.316707,6.986328,8.481445,7.342936,7.000543,7.288086,7.204224,6.761597,10.38199,7.739176,7.253174,8.199812,7.971029,8.329619
8.298468,7.874284,8.106567,7.388009,7.699805,7.852095,8.004395,7.484049,7.343229,7.717564,7.901758,7.273926,7.019206,7.30311,7.44407,6.726888,7.584403,7.249457,7.121394,7.502441,8.523047,7.604492,6.934462,7.199951,7.454346,6.742554,8.612906,7.298096,7.127197,8.457171,7.694661,8.467314
9.222965,8.910612,7.859497,7.334682,7.326367,8.575817,8.918701,7.719238,7.98763,7.837333,7.729036,7.197461,6.975016,7.533128,7.529297,6.830729,7.455078,6.856228,7.089844,7.015381,8.594141,7.251953,6.930013,7.582031,8.727783,6.832886,10.23821,8.504476,7.092529,8.575509,9.057183,9.037282
9.067434,7.950326,7.31543,7.363804,7.710547,7.782049,8.336548,7.340413,7.710091,7.499721,7.554167,7.032861,6.849284,7.212064,8.032315,6.936523,7.41197,7.110894,7.299805,7.14917,8.550586,7.814453,7.072157,7.125732,7.188721,6.691162,9.024414,7.724691,7.078369,8.556048,7.653212,8.512753
9.342516,7.515755,7.981567,7.396136,7.764063,7.545987,9.267944,7.383138,7.589323,8.226842,7.753841,7.159033,7.075114,7.432617,7.608842,6.90625,7.404436,6.90918,7.272536,7.319092,8.922461,7.650228,7.013563,7.124512,7.40564,6.970947,10.04965,7.646891,7.031494,8.035261,8.698568,9.103401
8.76177,7.755924,7.921387,7.232701,7.600391,8.23402,7.943604,7.419596,7.655013,7.598703,7.980078,7.137451,7.04069,7.449444,7.495916,6.709635,8.449637,6.933377,7.512545,7.273438,7.929492,7.19043,7.154622,7.155151,7.093384,7.029419,8.320162,7.474365,6.888428,8.914795,7.833984,9.256204
9.179431,7.633919,7.875977,7.399867,7.771973,8.860618,9.291626,7.219645,7.470573,7.720354,7.863997,7.316846,7.068115,7.694862,7.130149,6.73763,7.372489,7.096463,7.450421,7.368408,8.195313,7.710124,7.137695,7.128906,7.454956,6.768555,9.405198,7.793783,7.149902,7.99142,8.684462,9.427217
8.897872,7.429557,6.922119,7.356341,7.788379,7.869052,8.509766,7.355876,7.553125,7.669015,8.11875,7.079199,7.144287,7.446364,8.006392,6.751302,7.548828,7.287435,7.207332,7.415527,9.082422,7.567546,7.022678,7.068481,7.205933,6.929321,9.063927,7.205648,7.205078,9.156913,7.836806,8.989488
9.784951,7.822396,7.41687,7.528564,7.905762,8.072177,9.690796,7.80013,7.979362,7.832589,8.125326,7.079883,6.954997,7.524865,7.559038,6.552083,7.43471,7.267904,7.146259,7.73999,8.67832,7.54541,6.939562,6.984497,7.87146,6.884277,10.34097,8.131104,7.094482,8.083601,9.027778,9.603688
